353,292,292,354,353,353,352,354,353,353,352,354,292,353,352,292,292,352,352,354,353,352,354,352,353,353,354,292,292,352,354,354
352,353,354,354,352,292,352,292,352,352,354,353,354,353,352,354,353,353,352,352,354,354,292,353,353,354,292,353,352,353,354,292
353,352,354,292,292,353,292,292,354,292,292,354,352,292,352,292,353,352,352,292,292,352,292,354,292,353,352,353,352,353,353,354
353,352,352,354,292,352,292,353,292,353,353,292,354,292,352,354,292,292,292,352,352,353,352,354,354,353,354,352,353,292,353,353
354,352,354,292,354,354,353,292,353,354,292,292,354,354,354,352,352,354,292,352,353,354,352,292,353,354,292,353,352,354,352,352
353,354,354,354,353,352,352,354,352,353,292,354,292,353,352,292,354,354,354,353,353,352,352,292,292,353,352,353,353,352,292,353
354,292,353,353,352,353,292,292,353,353,354,352,352,292,352,292,352,353,352,352,352,352,292,292,353,292,292,352,352,354,353,292
292,352,354,352,292,352,353,354,292,292,292,352,353,354,292,292,353,352,352,352,354,352,292,292,353,292,353,352,353,354,354,292
292,352,354,352,354,353,354,354,353,354,353,354,352,292,354,354,353,292,292,353,292,353,354,352,354,353,354,354,352,352,292,354
292,292,354,292,354,354,292,354,353,353,354,292,292,354,353,352,353,353,352,354,292,353,354,352,292,352,352,292,292,354,353,352
292,353,292,352,292,352,352,353,354,354,292,353,354,292,352,352,354,353,352,352,292,193,324,321,194,353,352,353,292,352,352,354
352,354,292,352,353,354,353,354,353,354,352,354,292,353,353,292,354,292,292,354,352,228,260,257,226,354,196,321,197,353,353,352
352,353,353,352,352,352,353,354,352,354,354,353,193,197,352,354,354,352,353,292,354,353,292,196,321,321,322,259,229,354,353,352
352,354,353,352,352,352,354,193,321,194,352,354,225,226,292,354,352,354,353,353,354,353,193,325,256,260,257,226,353,292,354,193
354,354,354,292,354,193,324,325,259,229,354,354,352,292,353,354,353,354,354,292,353,352,225,260,226,352,353,292,352,354,353,225
354,354,352,352,354,293,-1,256,229,292,353,352,292,292,352,352,292,353,354,353,353,292,353,353,353,352,292,354,352,352,354,353
353,292,292,353,353,228,257,226,354,352,352,292,354,292,292,352,353,353,292,354,352,292,193,194,292,354,354,352,352,193,197,354
354,193,194,353,292,352,353,292,354,352,352,292,352,292,354,352,354,292,352,354,292,292,228,229,352,354,353,292,354,293,291,292
292,293,288,352,196,197,292,354,352,354,292,292,353,352,352,352,352,292,353,354,353,352,292,292,193,321,324,321,194,228,226,354
292,228,229,353,228,229,353,292,352,354,292,292,354,354,353,352,354,292,354,354,352,352,292,292,228,260,257,257,226,353,354,354
352,352,352,353,353,352,353,193,321,194,292,354,354,354,352,352,352,352,352,292,352,353,292,353,353,352,353,352,354,292,352,292
292,292,292,354,292,354,353,228,260,229,354,354,354,353,352,352,353,354,354,354,353,292,354,353,292,354,352,292,352,353,193,321
194,292,292,352,353,292,352,354,352,292,292,292,353,292,292,292,292,354,354,354,292,292,353,352,292,292,292,354,353,353,225,257
229,353,354,292,354,352,353,354,292,352,292,292,354,292,354,292,354,352,352,353,352,354,353,353,353,354,352,292,292,292,353,354
353,292,354,352,292,353,292,354,354,292,352,292,352,352,352,352,292,352,354,292,292,292,292,353,292,353,353,353,352,354,352,193
324,194,352,353,354,352,354,292,353,354,354,354,352,292,292,352,352,352,353,352,354,292,354,352,353,352,292,354,352,354,193,325
259,229,354,354,353,353,352,354,353,352,352,292,354,353,354,353,352,353,352,292,353,352,354,354,354,354,354,354,353,354,225,260
291,354,292,353,354,292,292,292,354,353,353,292,292,354,354,354,353,354,353,352,352,292,292,352,292,353,352,292,353,353,354,354
288,353,352,354,352,354,352,352,353,292,353,292,353,292,353,292,196,197,354,292,354,353,353,292,354,354,353,353,352,353,353,353
323,194,354,354,354,352,353,353,354,292,292,193,324,324,194,353,290,320,197,292,352,354,292,354,292,353,352,354,352,354,352,354
260,229,292,292,292,352,352,292,292,292,354,228,260,260,226,353,225,257,229,352,292,354,292,353,352,354,354,352,292,354,354,292
354,352,354,354,292,353,353,352,292,354,354,353,354,352,354,353,352,352,352,292,292,353,353,352,353,354,292,353,354,353,352,352
